"gname.list"	"g.order"
"chr10_81965807"	99
"chr10_88428438"	100
"chr10_95242133"	101
"chr10_96163197"	102
"chr10_102758407"	105
"chr10_103454044"	106
"chr10_112257270"	109
"chr10_127585651"	117
"chr11_1507330"	118
"chr11_1785454"	119
"chr11_1855473"	120
"chr11_2181739"	121
"chr11_9111346"	122
"chr11_14913963"	123
"chr11_34937514"	124
"chr11_44118033"	125
"chr11_44972470"	126
"chr11_57519452"	127
"chr11_62009909"	128
"chr11_62104852"	129
"chr11_62439896"	131
"chr11_64126933"	132
"chr11_64878377"	133
"chr11_65342690"	134
"chr11_70049692"	137
"chr11_71160121"	138
"chr11_71498740"	139
"chr11_109964252"	144
"chr11_112141897"	145
"chr11_116700577"	146
"chr11_124734782"	150
"chr12_862576"	151
"chr12_12509928"	154
"chr12_51441731"	159
"chr12_52641279"	160
"chr12_56615515"	162
"chr12_56652959"	163
"chr12_57916057"	165
"chr12_65218604"	167
"chr12_69742152"	168
"chr12_77273494"	169
"chr12_90101946"	170
"chr12_102224307"	173
"chr12_103218363"	174
"chr12_108732405"	176
"chr12_109554193"	177
"chr12_110512438"	178
"chr12_111806704"	179
"chr12_118541297"	181
"chr12_121569866"	183
"chr12_122019445"	184
"chr12_122231058"	185
"chr12_122500932"	186
"chr12_122516395"	187
"chr12_122710331"	188
"chr12_124156070"	189
"chr12_126910478"	191
"chr12_131438705"	192
"chr12_133263639"	193
"chr13_30682910"	195
"chr13_31191239"	196
"chr13_36705181"	197
"chr13_41496036"	199
"chr13_50571665"	202
"chr13_113655764"	204
"chr13_114631804"	206
"chr14_21566960"	207
"chr14_24048872"	210
"chr14_24682538"	211
"chr14_24711277"	212
"chr14_24781285"	213
"chr14_53619044"	216
"chr14_55518676"	218
"chr14_61747570"	221
"chr14_64108675"	222
"chr14_67908275"	223
"chr14_70547832"	225
"chr14_71275750"	226
"chr14_73393540"	227
"chr14_74224697"	228
"chr14_74253951"	229
"chr14_77607681"	234
"chr14_91592767"	236
"chr14_94789094"	239
"chr14_104094664"	243
"chr14_104551314"	244
"chr14_105132014"	245
"chr15_22892497"	247
"chr15_31508740"	249
"chr15_34517868"	251
"chr15_41056249"	252
"chr15_41186756"	253
"chr15_50473770"	256
"chr15_60690744"	259
"chr15_66162814"	261
"chr15_66648809"	262
"chr15_72409982"	263
"chr15_72523678"	264
"chr15_76351575"	267
"chr15_85524338"	271
"chr15_89182066"	272
"chr15_90777559"	273
"chr16_692702"	277
"chr16_851631"	278
"chr16_1203766"	279
"chr16_1465103"	282
"chr16_1728481"	283
"chr16_1822821"	284
"chr16_1832428"	285
"chr16_1877658"	286
"chr16_2009541"	287
"chr16_2273224"	288
"chr16_2391333"	289
"chr16_2908241"	293
"chr16_4743161"	296
"chr16_8767946"	297
"chr16_20912944"	302
"chr16_22309092"	303
"chr16_25269580"	305
"chr16_28621263"	306
"chr16_30537867"	309
"chr16_53164382"	312
"chr16_56280187"	313
"chr16_58534391"	314
"chr16_58767351"	315
"chr16_68013569"	317
"chr16_68049434"	318
"chr16_68268338"	319
"chr16_69796089"	320
"chr16_75150466"	321
"chr16_75735390"	322
"chr16_75760541"	323
"chr16_81041510"	324
"chr16_85096392"	325
"chr16_87813053"	327
"chr16_88878540"	329
"chr16_89767437"	330
"chr16_90113985"	332
"chr17_1132651"	333
"chr17_3879881"	336
"chr17_4843076"	337
"chr17_17585000"	339
"chr17_36584774"	341
"chr17_45266406"	342
"chr17_47652813"	344
"chr17_54911861"	347
"chr17_59533963"	355
"chr17_60142412"	356
"chr17_61776953"	357
"chr17_62406588"	358
"chr17_67323175"	360
"chr17_72427454"	363
"chr17_72864728"	364
"chr17_75284098"	368
"chr17_76274961"	369
"chr17_79282341"	370
"chr17_79283133"	371
"chr17_79518679"	372
"chr17_81039310"	376
"chr18_12045"	377
"chr18_3261762"	379
"chr18_9136740"	380
"chr18_9613900"	381
"chr18_12308669"	382
"chr18_14946890"	384
"chr18_18822464"	385
"chr18_21033123"	386
"chr18_52626194"	388
"chr19_4540042"	392
"chr19_7580749"	393
"chr19_10613179"	396
"chr19_11848929"	398
"chr19_11908455"	399
"chr19_12404818"	400
"chr19_13068395"	401
"chr19_13858634"	402
"chr19_13946747"	403
"chr19_15491009"	404
"chr19_15590813"	405
"chr19_15751324"	406
"chr19_15939338"	407
"chr19_16254390"	409
"chr19_17355900"	410
"chr19_18118085"	411
"chr19_19006062"	414
"chr19_19739740"	416
"chr19_33167631"	417
"chr19_33865164"	418
"chr19_35532058"	420
"chr19_35606717"	421
"chr19_35614516"	422
"chr19_35760826"	423
"chr19_35782778"	424
"chr19_36000490"	425
"chr19_37407339"	427
"chr19_40732706"	429
"chr19_44099459"	431
"chr19_45250998"	432
"chr19_46285171"	435
"chr19_49116902"	438
"chr19_49575994"	439
"chr19_50146431"	440
"chr19_54486023"	441
"chr19_55591392"	442
"chr19_58446113"	444
"chr2_260963"	445
"chr2_20551462"	449
"chr2_25896845"	452
"chr2_26987235"	453
"chr2_39893298"	458
"chr2_68479658"	462
"chr2_70485858"	463
"chr2_74375046"	464
"chr2_85360986"	466
"chr2_86426837"	467
"chr2_88926204"	468
"chr2_101179316"	471
"chr2_105489898"	474
"chr2_106015695"	475
"chr2_109403078"	476
"chr2_113994288"	477
"chr2_133016426"	478
"chr2_158485222"	481
"chr2_171785844"	484
"chr2_172750762"	485
"chr2_175547080"	486
"chr2_176045837"	487
"chr2_178977475"	489
"chr2_218808669"	490
"chr2_220265015"	492
"chr2_220437002"	493
"chr2_233415176"	495
"chr2_238599933"	498
"chr20_20693127"	502
"chr20_23860700"	505
"chr20_25604509"	507
"chr20_25667532"	508
"chr20_26189635"	509
"chr20_30467691"	510
"chr20_35089095"	513
"chr20_37231246"	515
"chr20_48533053"	519
"chr20_60877160"	523
"chr20_60982847"	526
"chr20_62186117"	528
"chr20_62283755"	529
"chr20_62583036"	531
"chr20_62610485"	532
"chr20_62712034"	533
"chr21_16438023"	535
"chr21_33765929"	536
"chr21_43483607"	543
"chr21_43771253"	544
"chr21_43933788"	546
"chr21_46493444"	551
"chr21_46953999"	552
"chr22_23521850"	555
"chr22_24237040"	556
"chr22_27705909"	557
"chr22_29426962"	558
"chr22_32034097"	559
"chr22_36019495"	560
"chr22_37172519"	561
"chr22_38072114"	563
"chr22_38902886"	566
"chr22_41777216"	567
"chr22_43117056"	569
"chr22_44839007"	571
"chr22_45406469"	572
"chr22_50355084"	573
"chr3_5020189"	574
"chr3_32148691"	576
"chr3_33700704"	577
"chr3_43020687"	581
"chr3_43732696"	582
"chr3_46734551"	583
"chr3_58477712"	588
"chr3_66025230"	589
"chr3_69788945"	590
"chr3_71114351"	591
"chr3_93781522"	592
"chr3_120068487"	593
"chr3_125239551"	594
"chr3_133748691"	595
"chr3_134094066"	596
"chr3_135968205"	597
"chr3_137894175"	598
"chr3_143689772"	601
"chr3_148847292"	602
"chr3_149955500"	603
"chr3_149956251"	604
"chr3_156534887"	607
"chr3_161145165"	609
"chr3_186284843"	611
"chr3_194815032"	612
"chr4_1722705"	615
"chr4_1872523"	616
"chr4_1989061"	617
"chr4_2365797"	618
"chr4_3957157"	622
"chr4_7070420"	623
"chr4_15964739"	624
"chr4_37893272"	625
"chr4_40191986"	626
"chr4_40518881"	627
"chr4_71553513"	629
"chr4_79473008"	630
"chr4_85503804"	632
"chr4_87515350"	633
"chr4_89080202"	635
"chr4_89378442"	636
"chr4_100010623"	637
"chr4_110354933"	638
"chr4_120134088"	639
"chr4_169753151"	643
"chr4_174091322"	644
"chr4_184244513"	645
"chr4_184365562"	646
"chr5_1801730"	648
"chr5_1888428"	649
"chr5_16509418"	650
"chr5_43604161"	653
"chr5_68628642"	655
"chr5_79703998"	657
"chr5_90610222"	658
"chr5_102595162"	659
"chr5_131563921"	660
"chr5_131747158"	661
"chr5_132948354"	662
"chr5_134240996"	663
"chr5_137202964"	664
"chr5_151150993"	666
"chr5_154209553"	667
"chr5_170289173"	668
"chr5_176036677"	671
"chr5_176738613"	674
"chr5_177423974"	675
"chr6_1604873"	676
"chr6_10420904"	679
"chr6_13814345"	681
"chr6_24495170"	683
"chr6_26286128"	684
"chr6_26539154"	685
"chr6_28892338"	686
"chr6_29691294"	687
"chr6_31137691"	688
"chr6_31239693"	689
"chr6_33864770"	692
"chr6_36410642"	693
"chr6_43422515"	694
"chr6_52610616"	697
"chr6_71999047"	698
"chr6_88182805"	702
"chr6_90062165"	703
"chr6_99282642"	704
"chr6_108881058"	705
"chr6_131456502"	710
"chr6_138428646"	712
"chr6_149354323"	714
"chr6_152128519"	716
"chr6_158243702"	717
"chr6_163746080"	718
"chr6_168198464"	721
"chr6_169613322"	722
"chr7_2728133"	723
"chr7_5467599"	724
"chr7_30066177"	728
"chr7_39663686"	729
"chr7_44581871"	730
"chr7_56132031"	732
"chr7_75508017"	733
"chr7_75623801"	734
"chr7_76139774"	735
"chr7_86973959"	736
"chr7_98245845"	739
"chr7_98246935"	740
"chr7_100965422"	742
"chr7_105221918"	743
"chr7_143599217"	744
"chr7_150006073"	746
"chr7_150780484"	747
"chr7_151433361"	748
"chr7_151574358"	749
"chr7_156685047"	750
"chr8_1712776"	752
"chr8_11433175"	753
"chr8_13134168"	754
"chr8_17395300"	755
"chr8_17533969"	756
"chr8_67578736"	760
"chr8_70405138"	761
"chr8_82754840"	762
"chr8_92081447"	765
"chr8_95731150"	766
"chr8_119632984"	774
"chr8_120220757"	775
"chr8_124287057"	776
"chr8_142238773"	778
"chr8_144417322"	780
"chr8_144898271"	781
"chr9_2022129"	783
"chr9_6008121"	784
"chr9_33290933"	785
"chr9_35665058"	786
"chr9_79793089"	789
"chr9_86571942"	790
"chr9_88742343"	791
"chr9_88897180"	792
"chr9_89656700"	793
"chr9_94894985"	794
"chr9_94903694"	795
"chr9_96793333"	798
"chr9_101558721"	800
"chr9_124031554"	803
"chr9_125026983"	804
"chr9_130524447"	806
"chr9_130828947"	807
"chr9_131084888"	808
"chr9_131266459"	809
"chr9_131580999"	810
"chr9_137979203"	812
"chr9_138853115"	813
"chr9_139703068"	815
"chr9_139744159"	816
"chr9_140116141"	818
"chr9_140121672"	819
"chr9_140318434"	820
"chr9_140336140"	821
"chr9_140447074"	822
"chrX_44401644"	823
"chrX_68049237"	825
"chrX_103087275"	827
"chrX_107021782"	828
"chrX_135252595"	829
"chrX_153602752"	830
"chr1_8086543"	6
"chr1_19923578"	7
"chr1_38273458"	18
"chr1_45770567"	22
"chr1_51787325"	25
"chr1_62208226"	29
"chr1_112016108"	36
"chr1_154914188"	45
"chr1_161088851"	47
"chr1_173837722"	52
"chr1_201464742"	61
"chr1_226249889"	68
"chr1_235099267"	71
"chr10_22292103"	76
"chr10_28785329"	81
"chr10_30722711"	82
"chr10_48332263"	86
"chr10_71079468"	95
"chr10_71906837"	96
"chr10_76586692"	98
"chr10_106240854"	108
"chr10_112678476"	110
"chr10_115438919"	111
"chr10_118030755"	113
"chr10_120840895"	114
"chr10_125853142"	116
"chr11_62420940"	130
"chr11_68039533"	136
"chr11_72494024"	140
"chr11_75062393"	141
"chr11_86382660"	142
"chr11_94277544"	143
"chr11_117800019"	148
"chr11_118938455"	149
"chr12_6642999"	152
"chr12_49581987"	157
"chr12_51419813"	158
"chr12_56553036"	161
"chr12_57482614"	164
"chr12_102091640"	172
"chr12_107381778"	175
"chr12_119616528"	182
"chr12_133532876"	194
"chr13_41676210"	200
"chr13_114566970"	205
"chr14_23236147"	208
"chr14_35873247"	214
"chr14_55369056"	217
"chr14_60558541"	220
"chr14_75536310"	232
"chr14_75987960"	233
"chr14_93581275"	238
"chr14_94857355"	240
"chr14_101874970"	242
"chr15_42265020"	254
"chr15_51057516"	257
"chr15_85259382"	270
"chr15_100105445"	274
"chr16_638365"	275
"chr16_691806"	276
"chr16_1358833"	280
"chr16_1429112"	281
"chr16_2962517"	294
"chr16_11836291"	299
"chr16_14114204"	300
"chr16_30076890"	307
"chr16_30798045"	310
"chr16_53088739"	311
"chr16_67927617"	316
"chr16_89894557"	331
"chr17_2615348"	334
"chr17_3571869"	335
"chr17_34328066"	340
"chr17_46035235"	343
"chr17_53828494"	346
"chr17_54968555"	348
"chr17_57297914"	351
"chr17_57642871"	353
"chr17_70636836"	361
"chr17_71160815"	362
"chr17_72919741"	365
"chr17_73285776"	366
"chr17_81038401"	375
"chr18_47901264"	387
"chr19_2783197"	390
"chr19_3606549"	391
"chr19_45251903"	433
"chr19_45349584"	434
"chr19_58325671"	443
"chr2_10091999"	447
"chr2_24307278"	450
"chr2_24714026"	451
"chr2_45237146"	460
"chr2_64880974"	461
"chr2_100939017"	470
"chr2_103236026"	473
"chr2_149934685"	480
"chr2_169312674"	482
"chr2_219187322"	491
"chr2_238395930"	496
"chr2_238418999"	497
"chr20_18039607"	500
"chr20_23338671"	503
"chr20_23341927"	504
"chr20_32262524"	511
"chr20_32581702"	512
"chr20_35402868"	514
"chr20_39766609"	516
"chr20_52225740"	521
"chr20_61733929"	527
"chr20_62495810"	530
"chr21_9826570"	534
"chr21_40033414"	538
"chr21_40686823"	539
"chr21_41754765"	541
"chr21_45196310"	547
"chr21_46294062"	549
"chr21_46348203"	550
"chr21_47063911"	553
"chr3_33839867"	579
"chr3_40566367"	580
"chr3_50306529"	585
"chr3_52280248"	586
"chr3_141121134"	600
"chr3_156530592"	606
"chr3_157218341"	608
"chr3_196158799"	614
"chr4_3486877"	621
"chr4_56212929"	628
"chr4_87856057"	634
"chr4_141049129"	640
"chr5_32710696"	652
"chr5_52775903"	654
"chr5_77071352"	656
"chr5_137224646"	665
"chr5_172756963"	669
"chr5_176236829"	672
"chr6_13575164"	680
"chr6_31697603"	690
"chr6_33169221"	691
"chr6_44225495"	696
"chr6_83074509"	699
"chr6_86303504"	700
"chr6_126277913"	709
"chr6_138724740"	713
"chr6_167041685"	720
"chr7_28219269"	727
"chr7_98971861"	741
"chr8_21987596"	758
"chr8_66934735"	759
"chr8_90996162"	763
"chr8_99957369"	768
"chr8_101322688"	769
"chr8_103666270"	770
"chr8_110657156"	772
"chr8_119123893"	773
"chr8_141645189"	777
"chr9_37465339"	787
"chr9_114360728"	802
"chr9_129089833"	805
"chr9_139222829"	814
"chr9_140083376"	817
"chrX_53713421"	824
"chrX_100662980"	826
"chrX_153769639"	832
