Gene	DMSO_rep1	DMSO_rep2	E2_rep1	E2_rep2
SLC6A7	0	0	0	0
TSPAN9	206	204	107	135
BTBD7	1004	1055	732	782
APBA3	31	31	22	27
MKS1	95	104	67	90
ABHD5	108	117	132	156
ANOS1	6	9	9	7
AKAP8L	312	349	278	351
MBTD1	484	474	372	498
UTP18	352	348	607	686
RNF216	320	311	391	483
TTC19	163	179	244	262
PTBP1	1050	935	888	1196
DPF1	3	8	11	11
SYT7	232	256	182	235
LARS2	116	110	108	126
PIK3C2A	973	991	915	1063
PLAUR	12	10	6	17
ANLN	712	735	597	660
WIZ	151	189	217	289
RABGAP1	910	924	705	911
DCN	2	1	1	0
QPCTL	41	41	45	52
PPP5C	258	238	254	381
CEP68	107	106	185	242
MAP4K3	511	492	590	726
ZBTB32	0	0	0	0
TYROBP	0	0	0	0
TMEM159	204	232	211	259
GABRA3	0	0	0	0
BRCA1	182	200	231	273
ERCC1	144	176	153	177
CD22	3	1	20	40
SEMA3B	66	83	129	149
MBTPS2	108	137	181	159
PRICKLE3	53	59	99	122
LTF	2	3	3	0
EXTL3	189	169	169	246
NR1H4	0	0	0	0
ELOVL5	457	440	975	1167
ALOX5	0	0	0	0
KDM5D	0	0	0	0
CALCOCO1	259	247	165	194
UBR7	735	703	766	1005
MAP4K5	344	368	472	541
EHD3	64	69	38	54
PSMC4	400	369	439	476
MAN2B2	390	349	319	432
SLC7A14	1	1	3	1
CLDN11	1	0	5	3
SLC25A39	1044	1053	1166	1498
MVP	174	165	131	179
NUB1	299	283	289	389
PGM3	460	471	365	467
RWDD2A	149	142	83	113
CLK1	467	437	303	367
POLR3B	139	147	159	175
ANGEL1	174	180	242	314
RNF14	239	233	293	313
DNASE1L1	185	191	171	247
DDX11	74	73	107	155
HEBP1	113	117	103	116
GPRC5A	143	109	105	118
MAMLD1	3	13	17	31
CD6	0	0	0	0
TACC3	221	268	227	303
UFL1	367	383	285	340
POLA2	108	99	113	179
ZC3H3	93	86	96	137
CAPN1	1068	1065	856	1139
ACPP	27	27	14	19
MDH1	773	809	664	844
SLC30A9	637	625	556	706
MTMR11	59	54	30	62
COX15	323	261	251	324
CCDC88C	408	362	1492	2033
YAF2	85	84	80	126
ZMYND11	1802	1755	2017	2534
WAS	22	11	10	8
DPEP1	0	0	0	0
BID	171	189	244	294
MATR3	2144	2144	2017	2511
NPC1L1	0	0	0	0
XYLT2	286	313	380	502
RGPD5	5	4	8	8
STMN4	0	0	0	0
NUDCD3	254	220	276	344
ISL1	0	0	0	0
CHDH	147	129	214	262
IL20RA	59	49	40	61
CLCA1	0	0	0	0
CLCA4	0	0	0	0
GLT8D1	153	171	103	123
ATP2C1	262	268	256	327
	34	30	37	46
IGF1	6	1	2	3
SLC38A5	1	0	1	0
	22	35	17	17
RALBP1	628	557	577	612
RUFY3	66	66	89	93
CNTN1	0	0	1	1
SLC11A1	9	6	4	7
WWTR1	135	147	97	111
AGPS	0	0	0	1
ZNF806	0	0	0	0
CXorf56	231	213	198	200
ATP1A2	0	0	0	1
TTC27	110	115	114	163
ZNF582	0	0	0	0
VSIG2	0	0	0	0
PHLDB1	101	99	83	90
MARCO	0	0	0	0
CYP24A1	0	1	13	10
PRDM11	15	14	18	21
SYT13	1	1	0	0
SNAI2	0	1	0	0
CD74	4	0	0	0
HGF	0	0	0	0
ZRANB1	412	456	365	501
NCDN	326	344	263	379
ADGRA2	6	2	11	5
CCT8L1P	0	0	0	0
ZFP64	190	190	135	150
MNAT1	239	261	188	230
SAMD4A	71	57	74	104
RUNX3	0	0	0	0
MRE11	141	149	114	149
PLEKHB1	200	192	152	173
SERPINB1	223	260	162	197
CYP3A43	0	1	0	1
SLC7A9	0	0	0	2
SPAST	208	230	218	273
NRXN3	1	2	2	2
OSBPL5	56	45	40	57
AQR	589	658	594	663
CPS1	5	5	7	3
C8B	0	0	0	0
FHL1	1	4	1	3
RTF2	726	763	613	827
GABRA1	0	0	0	0
NLRP2	0	0	1	1
SLC45A4	58	61	61	63
RNF10	823	771	730	868
ZNF839	214	194	127	170
ZDHHC6	252	216	255	341
GRAMD1B	1	0	1	0
RNH1	322	328	313	406
NDUFS1	483	416	421	530
RB1CC1	464	502	442	514
ERP44	354	329	286	363
ALAS1	158	141	109	148
BIRC3	1	7	9	7
AKAP11	556	628	636	743
GLRX2	59	61	86	95
SNAPC1	56	53	93	112
DERA	84	63	71	105
STRAP	304	294	359	432
ABCC2	7	5	2	8
DEF6	35	38	27	43
PLEKHO1	3	3	15	16
GCLM	60	73	71	114
UBR2	474	490	308	394
EHD2	19	31	33	27
DEPDC1	301	329	219	295
CCDC28A	79	92	71	72
RRAGD	168	137	140	148
HSF2	98	96	146	146
PHF20	304	286	280	321
HSD17B6	4	2	1	2
NR1H3	52	45	39	55
TYMP	1	2	3	3
NCAPH2	142	140	134	195
TOMM34	169	163	167	225
SEC63	287	311	356	411
KPNA6	937	905	996	1193
VIM	0	4	5	2
RTEL1-TNFRSF6B	21	20	17	20
FAS	20	16	23	32
RNASET2	121	134	123	117
CD44	244	229	318	483
KCNG1	12	13	16	8
AGPAT4	0	0	0	0
SLAMF7	0	0	1	0
BTN3A1	14	15	8	2
MIPEP	117	122	84	120
PRKCH	478	520	265	353
INSRR	0	0	0	0
IFNGR1	127	117	84	141
B4GALT7	72	60	73	111
SH2D2A	0	0	0	0
VRK2	187	196	233	222
TNFRSF1B	0	0	0	2
VEZT	451	451	406	498
POU2F2	2	3	0	0
BRD9	173	149	228	333
SNX1	706	674	594	856
TBPL1	67	73	71	91
ARNTL2	21	27	35	33
BCLAF1	1233	1276	1390	1697
SLC39A9	1558	1562	1269	1536
ANK1	49	40	39	48
IBSP	9	5	14	10
TFB1M	26	37	22	36
RABEP1	439	483	738	808
HMGB3	303	298	325	401
NUP160	439	412	590	673
BAK1	73	68	69	85
MUSK	0	0	0	0
IKZF2	406	450	154	168
GRN	3377	3004	2490	3356
FAM13B	262	273	295	299
ARHGAP31	3	6	3	6
	4	0	0	1
CENPQ	73	90	100	116
SARS	465	424	608	723
RANBP3	145	125	148	193
ARID4A	717	704	513	641
EIPR1	122	112	106	121
PNPLA6	107	95	82	94
IFT88	96	95	79	101
ALG1	66	70	63	99
ZCCHC8	346	302	275	340
ABCF2	214	249	518	651
CHPF2	284	253	286	406
LRRC7	0	0	0	0
FUT8	709	748	702	883
UBA6	637	619	641	794
GAB2	219	214	789	1025
ATP6V0A1	209	191	189	200
PIAS1	356	362	302	327
SLC4A7	194	210	380	380
APBA2	8	9	11	17
	223	209	403	476
MAP2K3	82	102	93	98
EFCAB1	0	0	0	0
TMSB10	1905	1684	1540	1927
ASTE1	66	57	59	85
RNF19A	560	602	467	546
PEX3	103	76	81	124
GABARAPL2	570	521	432	532
MYOC	0	0	0	0
SH3YL1	545	544	404	528
FAM136A	314	313	397	562
VCL	486	528	449	522
DEPDC1B	152	138	114	159
DAPK2	60	46	119	154
NSMAF	132	150	160	166
ADSS	173	170	198	250
STAP1	0	0	0	0
TIMP2	58	74	52	65
RFC1	616	669	644	717
TBC1D23	285	323	233	271
CUL3	508	575	472	549
MYOM2	0	0	0	0
OTC	0	0	0	0
CYP46A1	31	31	26	29
AC118549.1	466	463	488	546
SLC18A1	0	0	1	0
USP2	4	4	1	1
CASR	0	0	0	0
TUBG2	28	28	15	24
RPL26L1	57	58	69	83
FLT4	6	8	7	8
NSUN2	403	355	629	742
FBXO42	122	109	104	125
MFAP3	343	307	223	265
MRI1	129	119	123	171
METTL1	9	3	29	45
HOXC8	6	6	20	25
AGA	70	75	51	64
PI4K2B	389	383	245	298
BOD1L1	780	892	698	833
MAT2B	154	171	119	152
TLL1	0	0	0	0
EDC4	467	412	463	560
TRIO	934	926	1018	1154
VCAN	0	0	6	3
CLEC16A	205	247	202	226
MSR1	1	0	1	1
CDH1	5923	5792	7621	8940
MTREX	368	408	397	486
DNAH5	11	9	17	13
ZFYVE16	518	438	338	406
RIPOR1	201	163	159	186
C6	0	0	0	0
RAI14	40	54	116	180
SOX30	0	0	1	0
PNKP	159	157	138	202
BEST2	0	1	0	0
PHLPP2	271	238	361	424
SPDL1	159	162	148	199
STAU2	508	496	316	382
PQLC2	54	45	35	47
CTNS	54	45	60	73
RTN4R	10	13	17	19
PHF23	209	205	283	335
CDH10	0	0	0	0
INPP4A	180	184	160	207
RAB27B	3752	3972	1488	1682
PSMA4	771	790	746	930
MYO16	1	0	2	1
LSG1	278	239	454	539
PARP3	50	50	46	47
TNC	0	0	0	0
THAP3	40	34	31	42
RIPOR3	173	176	104	113
TDP1	282	266	313	416
AIFM2	80	67	59	86
C2orf83	1	1	3	3
SPATA7	86	79	45	65
MED17	96	126	116	144
RETSAT	267	284	160	203
CAPG	54	53	43	39
AP2S1	367	376	322	435
USH2A	0	0	0	0
ZPBP	0	0	0	0
TG	0	0	1	0
ADAM28	0	0	0	0
BARX2	77	62	144	155
DCUN1D1	852	857	767	966
JADE2	285	276	360	435
ZIC2	10	16	38	40
LCP2	0	0	0	0
TRIT1	57	64	65	78
ADRB1	1	0	24	37
GUCA2B	0	0	0	0
CUL7	478	465	402	463
CTNNA1	2015	1942	1580	1902
PHKA2	236	206	211	262
CNTLN	2	1	0	2
EPHA3	450	449	231	315
HSPA5	710	677	936	1045
DSG2	627	674	583	699
GEMIN8	46	50	70	68
OFD1	254	241	214	231
GPM6B	1	2	1	1
MAGEC2	0	0	0	0
PREX2	0	0	1	3
WDR37	318	272	224	274
YTHDC2	135	127	130	168
CTPS2	231	211	229	255
ATP6V1H	253	267	182	223
POLR2B	811	698	891	1091
FAM214A	892	986	654	682
ARAP2	181	165	223	218
TPR	2467	2561	2225	2520
CP	2	0	0	0
KIAA0556	418	375	271	355
DTNBP1	67	58	60	67
XK	6	4	7	6
ANO2	0	1	0	1
C12orf4	59	55	56	63
SCML1	225	260	255	294
WWC3	299	318	436	492
ARHGAP6	0	0	0	0
FAM184B	0	1	1	0
MAP4	585	543	494	656
GOPC	358	312	362	442
ROS1	0	0	0	0
USP28	150	170	146	171
HDAC9	0	0	1	0
TSPAN17	203	201	236	275
NOP16	58	48	249	304
CC2D2A	48	37	29	32
RRM2B	855	911	685	834
ZNF800	154	185	263	281
TNFRSF17	0	0	0	0
SNX29	223	212	246	279
LMO3	0	0	0	0
MRPS10	219	218	274	363
GUCA1A	0	0	0	0
RSF1	1108	1160	1025	1159
VPS13D	828	849	754	910
CELF2	0	0	0	0
FAM120A	1877	1926	1949	2413
R3HDM1	206	250	270	290
COL9A2	51	43	20	32
KITLG	3091	3072	1717	1982
ERCC8	46	48	46	61
ADAMTS6	0	0	0	0
H6PD	251	254	234	215
VAMP3	403	430	355	440
PER3	451	438	380	441
UTS2	0	0	0	0
TNFRSF9	0	0	0	0
EPN3	421	436	174	217
	0	0	0	0
LTBP1	523	508	392	567
RCN1	211	219	354	420
ELN	0	0	1	1
RFC2	451	448	556	701
ARID1B	292	330	505	615
CLPTM1L	450	453	544	654
NEDD4L	551	535	311	327
FOXP3	5	8	6	10
PPP1R3F	16	23	30	10
HEXB	554	571	509	551
PTCD2	44	39	56	94
NEXMIF	135	155	106	130
JKAMP	307	312	304	391
DKK3	0	0	0	0
ARHGEF5	42	31	34	43
NFE2L3	39	35	69	83
MCUR1	357	361	331	401
LIMA1	806	777	344	432
LETMD1	275	286	191	232
SLC4A8	35	34	19	19
LAMC3	0	3	1	2
PTGER3	1	0	0	0
TNIP3	0	0	0	2
MAPK9	385	345	327	426
COL23A1	5	5	5	4
BCAR1	490	560	445	495
FAM160A2	54	64	61	79
HERPUD1	375	327	274	272
HOMER3	23	21	46	59
RAD51	81	65	76	97
POLQ	307	282	224	266
PIK3CB	213	249	183	189
CYBA	291	340	350	417
THOC3	17	16	20	25
HEBP2	500	575	419	480
MPHOSPH9	526	534	559	639
PLEKHA5	553	554	396	444
PRSS8	578	554	262	412
SIKE1	2152	2263	1544	1883
RRP12	83	80	286	403
FNIP2	113	102	210	308
MSMO1	292	265	261	334
TTC17	374	342	380	450
ALX4	0	0	0	0
FSTL4	10	15	29	35
FOXN3	670	626	433	481
METTL24	0	0	0	0
AKR7A2	260	290	253	319
MRTO4	108	93	267	302
NNAT	0	0	0	0
USE1	36	43	42	47
MCF2L2	15	10	15	14
NRIP2	0	1	0	0
LAMA3	36	30	185	198
AP5M1	342	329	311	346
ANAPC4	150	151	188	193
KCNQ1	3	7	5	8
TRAPPC3	299	313	226	298
THRAP3	1610	1564	1425	1711
PHPT1	160	146	127	181
ENTPD2	12	18	16	27
LY75	2	0	0	1
ARID4B	483	462	393	452
OPN3	35	54	73	113
SDCCAG8	66	68	52	66
PTPRN	0	0	0	0
HHAT	61	46	31	45
KIF1B	358	380	238	289
FOXC1	7	12	122	142
TBC1D22A	131	133	107	131
SYNE2	3264	3900	2847	3444
PLEKHH1	122	139	271	333
ATP9A	2236	2251	1754	2137
SPO11	0	0	0	0
CBLN4	0	0	0	0
CHRDL2	0	0	0	0
FAM168A	799	796	586	707
RELT	26	19	87	97
GALC	207	237	179	204
NOP58	216	208	494	609
SZRD1	494	412	485	594
KCNH2	3	4	5	9
CUL1	407	384	474	641
FAM114A2	91	81	84	93
CYFIP2	310	323	188	218
TAB2	504	483	392	480
GINM1	239	219	191	222
EIF2AK2	1008	982	968	988
USP36	208	219	383	490
KMT2C	2024	2093	2006	2364
MCOLN3	20	21	11	18
CCDC85A	0	0	0	0
PUM2	1109	1152	1369	1612
MRPL43	186	193	198	248
ITIH4	0	1	0	0
ITIH1	0	0	0	0
HPF1	77	61	45	66
ZFR	767	784	877	1037
ZNF280C	50	70	110	124
NPFFR2	0	0	0	0
PHF21B	3	5	13	12
TRAF1	16	16	4	4
RC3H2	897	948	969	1061
	114	140	80	103
IL17RB	29	20	78	111
TRAF3IP2	122	121	201	286
GYG2	54	62	27	26
DCBLD2	315	328	327	377
SERPINB3	0	0	0	0
SOAT1	212	245	280	323
PKP2	122	101	53	66
MSH4	0	1	1	0
F7	0	2	1	0
GDI2	1540	1538	1908	2239
PRDM1	1	0	3	1
ATG5	246	243	193	261
TMCC3	46	46	29	31
PITHD1	106	76	124	137
MTA3	354	394	274	316
USP13	373	422	377	406
ATP11B	693	659	637	729
LAMC2	20	18	17	15
CDK14	2	0	0	1
SEC61A1	1013	1022	1215	1540
PPP1R12A	804	905	643	753
RASGRF1	12	13	6	8
CAMK2B	26	20	23	37
CROCC	68	73	77	76
POLR3E	150	143	339	418
ATP2B4	250	248	172	209
ZC3H11A	1769	1895	1407	1744
RIOK2	215	178	202	247
YIPF1	247	230	195	261
NDC1	297	280	418	485
DGKG	0	0	0	0
FLYWCH1	167	178	134	170
UNKL	121	131	66	83
TBXAS1	0	0	1	0
PARP12	33	39	55	74
ALDH18A1	464	466	603	746
TARBP1	49	54	43	62
GATB	143	135	119	151
MXD1	229	232	279	321
CDK17	515	596	380	472
DNAJC25	32	34	77	74
SLC2A3	2	2	1	1
PSD	35	23	20	30
CTDP1	71	103	94	121
YBX3	146	184	299	307
STYK1	10	14	11	11
WNK1	763	841	846	988
RPS17P5	1	3	2	1
CCAR1	684	689	619	740
OGFR	338	296	361	479
GNA15	0	0	0	0
CREB3L3	0	0	0	0
PIGV	89	99	53	73
PTPRU	74	85	88	107
SNRNP40	175	190	243	307
RIMBP2	0	0	0	0
COL11A1	0	0	0	0
QSER1	527	559	707	821
MPC1	51	55	62	73
ACAA1	214	172	150	183
BCAT1	0	0	6	2
HDAC7	146	148	116	149
LZTS1	0	0	0	0
PRDM6	40	32	72	89
WNT8A	0	0	0	0
SPAG4	17	34	22	29
NCKAP1	2148	2207	1987	2475
MRPS35	251	255	313	364
GUCY1B1	0	0	0	0
SFSWAP	339	325	380	452
TNK2	190	204	126	184
MON2	840	830	644	787
CDH3	1051	1050	718	908
ARSF	0	0	0	0
GPBP1	687	691	611	717
DGAT2	15	12	60	54
ZNF112	39	45	35	37
CS	415	378	460	510
LTK	0	0	0	0
MRPS24	2	0	1	1
ELMO2	239	263	189	251
WAPL	922	863	855	1000
VMP1	1586	1657	1944	2536
APPBP2	4340	4240	3238	3982
POLD1	134	108	176	229
SEZ6	1	0	0	0
EIF4B	4636	4355	4054	4843
SLC6A16	5	5	1	8
BICRA	17	41	19	22
SPHK2	51	46	38	46
RPL18	2221	2119	1857	2497
CA11	6	8	5	3
ISOC2	147	163	210	234
U2AF2	697	670	800	974
EPN1	542	548	474	599
MED29	322	287	268	329
AHRR	184	239	85	133
GSC2	0	0	0	0
ZNF275	114	115	134	145
MTMR1	163	156	145	176
GPC1	71	89	122	142
ADCK1	50	44	52	68
HAGH	184	186	136	198
RNF4	406	378	556	737
CASP8	76	86	109	144
LIMCH1	4	1	2	3
INTS13	228	264	227	246
TM7SF3	519	506	399	496
DLX3	66	47	42	49
SPA17	38	33	26	25
TSPAN32	0	0	0	0
WISP2	2	0	1	3
DMRT3	0	0	0	0
ST3GAL6	0	0	0	0
ATP2C2	586	605	504	592
NGFR	4	3	5	3
CDON	102	86	152	168
TAF2	539	498	492	613
HIPK2	503	537	726	816
TNPO3	335	288	248	313
BORCS8-MEF2B	0	0	0	0
RFXANK	136	157	93	154
TMEM161A	27	37	41	62
LPAR2	69	68	119	136
CTSA	837	815	690	847
SUGP2	394	361	474	581
SLC12A2	1863	1965	1129	1370
SNX24	46	38	191	229
EYA2	16	14	7	18
CNN2	207	170	161	241
ABCA7	88	84	83	102
SNCAIP	2	0	0	1
DDX20	180	151	444	469
BTBD1	528	530	562	659
FAR2	37	45	39	56
BCAS1	2300	2310	1708	2137
POU1F1	0	0	0	0
CHI3L2	0	0	0	0
SBNO2	354	399	777	960
PMS1	177	160	214	288
HMG20B	801	784	688	892
CALCRL	1	0	0	2
TAF11	283	260	291	402
ANKS1A	164	161	260	269
AP3D1	784	718	736	859
ZNF76	145	144	145	145
SLC9A3R2	338	324	235	285
NTHL1	32	29	30	37
UHRF1BP1	387	413	409	485
GNAI3	523	542	529	638
IPO5	478	465	613	739
OAT	179	194	166	218
WDR3	227	230	813	993
PKN2	501	455	396	535
WDR18	115	124	143	181
TRAM2	313	294	197	221
NTN1	22	25	32	37
GLP2R	0	0	0	0
MCM10	184	167	287	369
DGKA	19	34	31	39
ERBB3	2208	2070	1217	1428
ROPN1	0	0	0	0
ANKRD44	56	57	48	44
KARS	719	749	938	1202
ADAT1	243	255	306	340
PDIA5	70	54	72	88
TBC1D22B	79	89	69	86
NDUFB4	275	256	238	324
SPEN	486	491	617	747
MYLK	6	4	5	10
ZC3H15	719	792	942	1134
MAP2K4	235	235	236	252
TMEM206	19	16	32	49
SNAP91	0	0	0	0
SLK	852	855	1323	1433
CYB5R4	146	142	132	161
COL17A1	0	1	0	0
GSTO2	151	162	131	191
SEC61A2	29	33	34	32
PRKCQ	0	0	0	0
TLE2	124	104	98	91
ASB1	57	36	40	53
FAM107B	330	331	81	122
ME1	93	127	73	88
TBC1D1	286	250	328	388
CDK13	472	492	404	414
MTHFD2	547	531	750	889
SLC9A7	141	189	137	170
FOXJ2	149	173	131	192
YBX1	897	918	1179	1422
PDE4A	12	2	7	11
PPP2R5A	320	299	421	510
CTNNA2	0	0	0	0
ELAVL1	353	356	343	420
TIE1	1	1	1	1
DIP2B	821	818	567	652
SMARCD1	315	315	278	317
KDM4A	815	803	401	509
NFYC	217	192	179	237
ZMYND12	7	13	4	9
SLC9A3	0	0	0	0
NGEF	6	4	2	7
ASPM	818	820	606	714
CD84	3	4	1	2
ELOVL1	213	197	220	289
SPI1	0	0	0	0
ZNRD1	73	61	90	125
MPPED2	4	9	48	32
CLDN18	0	0	1	0
ZBTB11	412	397	554	659
ATXN3	325	328	272	307
GOLGA5	986	1013	809	934
FGFR2	73	70	61	87
LRRC40	144	132	95	134
ISOC1	464	401	597	710
EML1	176	175	186	219
TRMT11	63	66	77	78
THUMPD1	508	492	455	593
